CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,102,-,1,-,"2,466.75",-63.25,750,"2,495.35","2,579.85",750,"22,250.00","6,46,500",0.65,0.7,"22,19,925",-0.3,0.7,30.21,"2,01,733","30,121","54,742"
,51,-,4,59.05,"2,556.25",17.55,900,"2,476.30","2,517.10",75,"22,300.00","9,56,700",0.65,0.7,"7,32,525",-0.3,0.7,29.64,"86,655","13,793","35,211"
,7,-,-,-,-,-,750,"2,232.60","2,494.10",750,"22,350.00","1,90,500",0.7,0.75,"80,175",-0.25,0.75,29.27,"11,110",207,"6,787"
,11,-,-,-,-,-,750,"2,339.65","2,454.65",750,"22,400.00","37,425",0.8,0.85,"1,40,700",-0.2,0.8,28.88,"11,882","1,224","6,728"
,7,-,2,57.09,"2,410.85",-,750,"2,318.25","2,367.75",75,"22,450.00","16,050",0.85,0.9,"24,450",-0.35,0.9,28.48,"4,121",851,"1,200"
,135,-4,13,47.03,"2,323.80",-32.25,750,"2,289.80","2,316.60",75,"22,500.00","1,22,475",0.95,1,"2,53,800",-0.35,0.95,28.37,"38,780","2,512","18,243"
,10,-,-,-,-,-,750,"2,197.40","2,312.95",750,"22,550.00","7,350",1.05,1.1,"11,100",-0.3,1.05,28.06,"2,519",313,508
,23,-,-,-,-,-,750,"2,156.95","2,244.20",750,"22,600.00","25,200",1.15,1.2,"60,675",-0.2,1.15,27.73,"5,045",508,"2,509"
,8,-,-,-,-,-,750,"2,091.30","2,193.25",750,"22,650.00","29,100",1.2,1.25,"6,525",-0.15,1.25,27.26,"2,705",11,268
,51,-,-,-,-,-,750,"2,054.00","2,146.65",900,"22,700.00","30,000",1.3,1.35,"40,125",-0.05,1.35,26.77,"5,916",120,"2,324"
,29,-,-,-,-,-,750,"1,983.70","2,108.65",750,"22,750.00","11,025",1.35,1.4,"13,875",-0.1,1.4,26.39,"4,730",218,689
,32,-1,7,42.81,"2,027.85",-23,750,"1,992.15","2,036.15",750,"22,800.00","44,100",1.5,1.55,"51,375",0.05,1.5,25.99,"20,637","-1,941","8,106"
,14,-,-,-,-,-,750,"1,895.80","1,993.35",750,"22,850.00","18,525",1.6,1.65,"15,825",0.05,1.6,25.66,"7,054",515,"1,438"
